Item	Subject	Block	Stimuli	Context	Correct	Response	RT	RT_log	Lg_Heard	Main_Context	Group
A247	BE_03	Block4	Stim21	CSES	0	ML	1979	3.296445794	Eng	CS	nonsw
A248	BE_06	Block4	Stim29	CSES	1	CS	423	2.626340367	Eng	CS	supsw
A249	BE_03	Block4	Stim26	CSES	0	ML	200	2.301029996	Eng	CS	nonsw
A250	BE_06	Block4	Stim17	CSES	0	ML	1700	3.230448921	Eng	CS	supsw
A251	BE_03	Block4	Stim27	CSES	1	CS	368	2.565847819	Eng	CS	nonsw
A252	BE_06	Block4	Stim02	CSES	0	ML	352	2.546542663	Eng	CS	supsw
A253	BE_03	Block4	Stim28	CSES	0	ML	1244	3.09482038	Eng	CS	nonsw
A254	BE_06	Block4	Stim26	CSES	0	ML	499	2.698100546	Eng	CS	supsw
A255	BE_03	Block4	Stim29	CSES	1	CS	523	2.718501689	Eng	CS	nonsw
A256	BE_06	Block4	Stim28	CSES	0	ML	2865	3.457124626	Eng	CS	supsw
A257	BE_03	Block4	Stim03	CSES	0	ML	301	2.478566496	Eng	CS	nonsw
A258	BE_06	Block4	Stim03	CSES	0	ML	1050	3.021189299	Eng	CS	supsw
A259	BE_03	Block4	Stim32	CSES	1	CS	1350	3.130333768	Eng	CS	nonsw
A260	BE_06	Block4	Stim32	CSES	0	ML	652	2.814247596	Eng	CS	supsw
A261	BE_03	Block4	Stim13	CSSE	0	ML	340	2.531478917	Sp	CS	nonsw
A262	BE_06	Block4	Stim18	CSSE	1	CS	588	2.769377326	Sp	CS	supsw
A263	BE_03	Block4	Stim18	CSSE	0	ML	413	2.615950052	Sp	CS	nonsw
A264	BE_06	Block4	Stim23	CSSE	1	CS	1348	3.129689892	Sp	CS	supsw
A265	BE_03	Block4	Stim22	CSSE	0	ML	306	2.485721426	Sp	CS	nonsw
A266	BE_06	Block4	Stim24	CSSE	1	CS	1085	3.035429738	Sp	CS	supsw
A267	BE_03	Block4	Stim23	CSSE	0	ML	212	2.326335861	Sp	CS	nonsw
A268	BE_06	Block4	Stim30	CSSE	1	CS	558	2.746634199	Sp	CS	supsw
A269	BE_03	Block4	Stim24	CSSE	0	ML	552	2.741939078	Sp	CS	nonsw
A270	BE_06	Block4	Stim04	CSSE	1	CS	2352	3.371437317	Sp	CS	supsw
A271	BE_03	Block4	Stim30	CSSE	0	ML	486	2.686636269	Sp	CS	nonsw
A272	BE_06	Block4	Stim06	CSSE	1	CS	302	2.480006943	Sp	CS	supsw
A273	BE_03	Block4	Stim36	CSSE	0	ML	900	2.954242509	Sp	CS	nonsw
A274	BE_06	Block4	Stim13	CSSE	0	ML	638	2.804820679	Sp	CS	supsw
A275	BE_03	Block4	Stim04	CSSE	0	ML	247	2.392696953	Sp	CS	nonsw
A276	BE_06	Block4	Stim22	CSSE	0	ML	676	2.829946696	Sp	CS	supsw
A277	BE_03	Block4	Stim05	CSSE	0	ML	271	2.432969291	Sp	CS	nonsw
A278	BE_06	Block4	Stim36	CSSE	0	ML	284	2.45331834	Sp	CS	supsw
A279	BE_03	Block4	Stim06	CSSE	0	ML	241	2.382017043	Sp	CS	nonsw
A280	BE_06	Block4	Stim05	CSSE	0	ML	5294	3.723783937	Sp	CS	supsw
A281	BE_03	Block4	Stim14	E	1	ML	280	2.447158031	Eng	ML	nonsw
A282	BE_06	Block4	Stim14	E	0	CS	1850	3.267171728	Eng	ML	supsw
A283	BE_03	Block4	Stim15	E	1	ML	810	2.908485019	Eng	ML	nonsw
A284	BE_06	Block4	Stim33	E	0	CS	577	2.761175813	Eng	ML	supsw
A285	BE_03	Block4	Stim16	E	0	CS	450	2.653212514	Eng	ML	nonsw
A286	BE_06	Block4	Stim34	E	0	CS	1798	3.254789687	Eng	ML	supsw
A287	BE_03	Block4	Stim33	E	0	CS	61	1.785329835	Eng	ML	nonsw
A288	BE_06	Block4	Stim35	E	0	CS	308	2.488550717	Eng	ML	supsw
