"Item"	"Subject"	"Block"	"Stimuli"	"Context"	"Correct"	"Response"	"RT"	"RT_log"	"Lg_Heard"	"Main_Context"	"Group"
"121"	"A121"	"BE_03"	"Block2"	"Stim14"	"E"	1	"ML"	995	2.997823081	"Eng"	"ML"	"nonsw"
"122"	"A122"	"BE_06"	"Block2"	"Stim15"	"E"	0	"CS"	3964	3.598133646	"Eng"	"ML"	"supsw"
"123"	"A123"	"BE_03"	"Block2"	"Stim15"	"E"	1	"ML"	563	2.750508395	"Eng"	"ML"	"nonsw"
"124"	"A124"	"BE_06"	"Block2"	"Stim16"	"E"	0	"CS"	2064	3.314709693	"Eng"	"ML"	"supsw"
"125"	"A125"	"BE_03"	"Block2"	"Stim16"	"E"	1	"ML"	527	2.721810615	"Eng"	"ML"	"nonsw"
"126"	"A126"	"BE_06"	"Block2"	"Stim34"	"E"	0	"CS"	1182	3.072617477	"Eng"	"ML"	"supsw"
"127"	"A127"	"BE_03"	"Block2"	"Stim33"	"E"	0	"CS"	388	2.588831726	"Eng"	"ML"	"nonsw"
"128"	"A128"	"BE_06"	"Block2"	"Stim37"	"E"	0	"CS"	1483	3.171141151	"Eng"	"ML"	"supsw"
"129"	"A129"	"BE_03"	"Block2"	"Stim34"	"E"	1	"ML"	412	2.614897216	"Eng"	"ML"	"nonsw"
"130"	"A130"	"BE_06"	"Block2"	"Stim40"	"E"	0	"CS"	929	2.968015714	"Eng"	"ML"	"supsw"
"131"	"A131"	"BE_03"	"Block2"	"Stim35"	"E"	1	"ML"	1253	3.097951071	"Eng"	"ML"	"nonsw"
"132"	"A132"	"BE_06"	"Block2"	"Stim14"	"E"	1	"ML"	545	2.736396502	"Eng"	"ML"	"supsw"
"133"	"A133"	"BE_03"	"Block2"	"Stim37"	"E"	1	"ML"	754	2.877371346	"Eng"	"ML"	"nonsw"
"134"	"A134"	"BE_06"	"Block2"	"Stim33"	"E"	1	"ML"	1504	3.177247836	"Eng"	"ML"	"supsw"
"135"	"A135"	"BE_03"	"Block2"	"Stim38"	"E"	1	"ML"	1037	3.015778756	"Eng"	"ML"	"nonsw"
"136"	"A136"	"BE_06"	"Block2"	"Stim35"	"E"	1	"ML"	1074	3.031004281	"Eng"	"ML"	"supsw"
"137"	"A137"	"BE_03"	"Block2"	"Stim39"	"E"	1	"ML"	953	2.979092901	"Eng"	"ML"	"nonsw"
"138"	"A138"	"BE_06"	"Block2"	"Stim38"	"E"	1	"ML"	673	2.828015064	"Eng"	"ML"	"supsw"
"139"	"A139"	"BE_03"	"Block2"	"Stim40"	"E"	1	"ML"	618	2.790988475	"Eng"	"ML"	"nonsw"
"140"	"A140"	"BE_06"	"Block2"	"Stim39"	"E"	1	"ML"	1069	3.028977705	"Eng"	"ML"	"supsw"
"143"	"A143"	"BE_03"	"Block2"	"Stim11"	"S"	1	"ML"	337	2.527629901	"Sp"	"ML"	"nonsw"
"144"	"A144"	"BE_06"	"Block2"	"Stim12"	"S"	0	"CS"	3318	3.520876382	"Sp"	"ML"	"supsw"
"145"	"A145"	"BE_03"	"Block2"	"Stim12"	"S"	1	"ML"	429	2.632457292	"Sp"	"ML"	"nonsw"
"146"	"A146"	"BE_06"	"Block2"	"Stim19"	"S"	0	"CS"	1732	3.238547888	"Sp"	"ML"	"supsw"
