Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context	Group
A7761	BE_74	Block3	Stim01	CSES	1	CS	2108	Eng	CS	nonsw
A7765	BE_74	Block3	Stim26	CSES	1	CS	816	Eng	CS	nonsw
A7766	BE_74	Block3	Stim27	CSES	1	CS	431	Eng	CS	nonsw
A7767	BE_74	Block3	Stim28	CSES	1	CS	4104	Eng	CS	nonsw
A7768	BE_74	Block3	Stim29	CSES	1	CS	2199	Eng	CS	nonsw
A7770	BE_74	Block3	Stim32	CSES	1	CS	1216	Eng	CS	nonsw
A7846	BE_75	Block1	Stim27	CSES	1	CS	1632	Eng	CS	nonsw
A7881	BE_75	Block2	Stim01	CSES	1	CS	950	Eng	CS	nonsw
A7885	BE_75	Block2	Stim26	CSES	1	CS	4422	Eng	CS	nonsw
A7887	BE_75	Block2	Stim28	CSES	1	CS	1418	Eng	CS	nonsw
A7921	BE_75	Block3	Stim01	CSES	1	CS	3720	Eng	CS	nonsw
A7927	BE_75	Block3	Stim28	CSES	1	CS	1553	Eng	CS	nonsw
A7928	BE_75	Block3	Stim29	CSES	1	CS	3104	Eng	CS	nonsw
A7930	BE_75	Block3	Stim32	CSES	1	CS	1537	Eng	CS	nonsw
A8243	BE_77	Block3	Stim02	CSES	1	CS	283	Eng	CS	nonsw
A8326	BE_80	Block1	Stim27	CSES	1	CS	1358	Eng	CS	nonsw
A8327	BE_80	Block1	Stim28	CSES	1	CS	3282	Eng	CS	nonsw
A8329	BE_80	Block1	Stim03	CSES	1	CS	2375	Eng	CS	nonsw
A8369	BE_80	Block2	Stim03	CSES	1	CS	357	Eng	CS	nonsw
A8370	BE_80	Block2	Stim32	CSES	1	CS	3294	Eng	CS	nonsw
A8445	BE_80	Block4	Stim26	CSES	1	CS	1076	Eng	CS	nonsw
A8449	BE_80	Block4	Stim03	CSES	1	CS	595	Eng	CS	nonsw
A8486	BE_82	Block1	Stim27	CSES	1	CS	1464	Eng	CS	nonsw
A8487	BE_82	Block1	Stim28	CSES	1	CS	3887	Eng	CS	nonsw
A8526	BE_82	Block2	Stim27	CSES	1	CS	4282	Eng	CS	nonsw
A8530	BE_82	Block2	Stim32	CSES	1	CS	1583	Eng	CS	nonsw
A8562	BE_82	Block3	Stim17	CSES	1	CS	834	Eng	CS	nonsw
A8566	BE_82	Block3	Stim27	CSES	1	CS	658	Eng	CS	nonsw
A8602	BE_82	Block4	Stim17	CSES	1	CS	2520	Eng	CS	nonsw
A8603	BE_82	Block4	Stim02	CSES	1	CS	1014	Eng	CS	nonsw
A8606	BE_82	Block4	Stim27	CSES	1	CS	1305	Eng	CS	nonsw
A8608	BE_82	Block4	Stim29	CSES	1	CS	1564	Eng	CS	nonsw
A8610	BE_82	Block4	Stim32	CSES	1	CS	781	Eng	CS	nonsw
A8641	BE_84 	Block1	Stim01	CSES	1	CS	1563	Eng	CS	nonsw
A8684	BE_84 	Block2	Stim21	CSES	1	CS	1796	Eng	CS	nonsw
A8685	BE_84 	Block2	Stim26	CSES	1	CS	5219	Eng	CS	nonsw
A8690	BE_84 	Block2	Stim32	CSES	1	CS	1544	Eng	CS	nonsw
A8722	BE_84 	Block3	Stim17	CSES	1	CS	660	Eng	CS	nonsw
A8729	BE_84 	Block3	Stim03	CSES	1	CS	8514	Eng	CS	nonsw
A8730	BE_84 	Block3	Stim32	CSES	1	CS	2178	Eng	CS	nonsw
A8762	BE_84 	Block4	Stim17	CSES	1	CS	1170	Eng	CS	nonsw
A8767	BE_84 	Block4	Stim28	CSES	1	CS	2198	Eng	CS	nonsw
A1	BE_03	Block1	Stim01	CSES	0	ML	1336	Eng	CS	nonsw
A2	BE_03	Block1	Stim17	CSES	0	ML	2876	Eng	CS	nonsw
A4	BE_03	Block1	Stim21	CSES	0	ML	1714	Eng	CS	nonsw
A7	BE_03	Block1	Stim28	CSES	0	ML	6055	Eng	CS	nonsw
A41	BE_03	Block2	Stim01	CSES	0	ML	340	Eng	CS	nonsw
A42	BE_03	Block2	Stim17	CSES	0	ML	807	Eng	CS	nonsw
A43	BE_03	Block2	Stim02	CSES	0	ML	277	Eng	CS	nonsw
A44	BE_03	Block2	Stim21	CSES	0	ML	306	Eng	CS	nonsw
A45	BE_03	Block2	Stim26	CSES	0	ML	278	Eng	CS	nonsw
A49	BE_03	Block2	Stim03	CSES	0	ML	879	Eng	CS	nonsw
A81	BE_03	Block3	Stim01	CSES	0	ML	273	Eng	CS	nonsw
A82	BE_03	Block3	Stim17	CSES	0	ML	1385	Eng	CS	nonsw
A83	BE_03	Block3	Stim02	CSES	0	ML	2445	Eng	CS	nonsw
A84	BE_03	Block3	Stim21	CSES	0	ML	1856	Eng	CS	nonsw
A85	BE_03	Block3	Stim26	CSES	0	ML	347	Eng	CS	nonsw
A89	BE_03	Block3	Stim03	CSES	0	ML	300	Eng	CS	nonsw
A90	BE_03	Block3	Stim32	CSES	0	ML	938	Eng	CS	nonsw
A121	BE_03	Block4	Stim01	CSES	0	ML	304	Eng	CS	nonsw
A122	BE_03	Block4	Stim17	CSES	0	ML	802	Eng	CS	nonsw
A123	BE_03	Block4	Stim02	CSES	0	ML	811	Eng	CS	nonsw
A124	BE_03	Block4	Stim21	CSES	0	ML	1979	Eng	CS	nonsw
A125	BE_03	Block4	Stim26	CSES	0	ML	200	Eng	CS	nonsw
A127	BE_03	Block4	Stim28	CSES	0	ML	1244	Eng	CS	nonsw
A129	BE_03	Block4	Stim03	CSES	0	ML	301	Eng	CS	nonsw
A161	BE_04	Block1	Stim01	CSES	0	ML	718	Eng	CS	nonsw
A162	BE_04	Block1	Stim17	CSES	0	ML	483	Eng	CS	nonsw
A163	BE_04	Block1	Stim02	CSES	0	ML	595	Eng	CS	nonsw
A164	BE_04	Block1	Stim21	CSES	0	ML	656	Eng	CS	nonsw
A165	BE_04	Block1	Stim26	CSES	0	ML	1678	Eng	CS	nonsw
A166	BE_04	Block1	Stim27	CSES	0	ML	2675	Eng	CS	nonsw
A167	BE_04	Block1	Stim28	CSES	0	ML	820	Eng	CS	nonsw
A168	BE_04	Block1	Stim29	CSES	0	ML	1090	Eng	CS	nonsw
A169	BE_04	Block1	Stim03	CSES	0	ML	620	Eng	CS	nonsw
A170	BE_04	Block1	Stim32	CSES	0	ML	553	Eng	CS	nonsw
