Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A1727	BE_39	Block4	Stim28	CSES	English	z	Spanish	ML	1943	Eng	CS
A1728	BE_39	Block4	Stim29	CSES	English	z	Spanish	ML	6111	Eng	CS
A1729	BE_39	Block4	Stim03	CSES	English	z	Spanish	ML	613	Eng	CS
A1730	BE_39	Block4	Stim32	CSES	English	z	Spanish	ML	1666	Eng	CS
A1763	BE_40	Block1	Stim01	CSES	English	z	Spanish	ML	331	Eng	CS
A1764	BE_40	Block1	Stim17	CSES	English	z	Spanish	ML	1407	Eng	CS
A1765	BE_40	Block1	Stim02	CSES	English	z	Spanish	ML	2155	Eng	CS
A1766	BE_40	Block1	Stim21	CSES	English	z	Spanish	ML	882	Eng	CS
A1767	BE_40	Block1	Stim28	CSES	English	z	Spanish	ML	5444	Eng	CS
A1768	BE_40	Block1	Stim29	CSES	English	z	Spanish	ML	1852	Eng	CS
A1769	BE_40	Block1	Stim03	CSES	English	z	Spanish	ML	382	Eng	CS
A1770	BE_40	Block1	Stim32	CSES	English	z	Spanish	ML	1443	Eng	CS
A1806	BE_40	Block2	Stim01	CSES	English	z	Spanish	ML	1690	Eng	CS
A1807	BE_40	Block2	Stim17	CSES	English	z	Spanish	ML	664	Eng	CS
A1808	BE_40	Block2	Stim02	CSES	English	z	Spanish	ML	277	Eng	CS
A1809	BE_40	Block2	Stim21	CSES	English	z	Spanish	ML	1362	Eng	CS
A1810	BE_40	Block2	Stim03	CSES	English	z	Spanish	ML	820	Eng	CS
A1847	BE_40	Block3	Stim01	CSES	English	z	Spanish	ML	823	Eng	CS
A1848	BE_40	Block3	Stim17	CSES	English	z	Spanish	ML	1791	Eng	CS
A1849	BE_40	Block3	Stim02	CSES	English	z	Spanish	ML	1179	Eng	CS
A1850	BE_40	Block3	Stim26	CSES	English	z	Spanish	ML	757	Eng	CS
A1886	BE_40	Block4	Stim01	CSES	English	z	Spanish	ML	2302	Eng	CS
A1887	BE_40	Block4	Stim17	CSES	English	z	Spanish	ML	795	Eng	CS
A1888	BE_40	Block4	Stim02	CSES	English	z	Spanish	ML	1022	Eng	CS
A1889	BE_40	Block4	Stim28	CSES	English	z	Spanish	ML	911	Eng	CS
A1890	BE_40	Block4	Stim32	CSES	English	z	Spanish	ML	1355	Eng	CS
A2082	BE_47	Block1	Stim01	CSES	English	m	Spanish	ML	345	Eng	CS
A2083	BE_47	Block1	Stim17	CSES	English	m	Spanish	ML	590	Eng	CS
A2084	BE_47	Block1	Stim02	CSES	English	m	Spanish	ML	1060	Eng	CS
A2085	BE_47	Block1	Stim21	CSES	English	m	Spanish	ML	770	Eng	CS
A2086	BE_47	Block1	Stim26	CSES	English	m	Spanish	ML	744	Eng	CS
A2087	BE_47	Block1	Stim27	CSES	English	m	Spanish	ML	301	Eng	CS
A2088	BE_47	Block1	Stim29	CSES	English	m	Spanish	ML	1557	Eng	CS
A2089	BE_47	Block1	Stim03	CSES	English	m	Spanish	ML	331	Eng	CS
A2090	BE_47	Block1	Stim32	CSES	English	m	Spanish	ML	613	Eng	CS
A2124	BE_47	Block2	Stim01	CSES	English	m	Spanish	ML	608	Eng	CS
A2125	BE_47	Block2	Stim17	CSES	English	m	Spanish	ML	1508	Eng	CS
A2126	BE_47	Block2	Stim02	CSES	English	m	Spanish	ML	1086	Eng	CS
A2127	BE_47	Block2	Stim26	CSES	English	m	Spanish	ML	1905	Eng	CS
A2128	BE_47	Block2	Stim27	CSES	English	m	Spanish	ML	831	Eng	CS
A2129	BE_47	Block2	Stim03	CSES	English	m	Spanish	ML	259	Eng	CS
A2130	BE_47	Block2	Stim32	CSES	English	m	Spanish	ML	4003	Eng	CS
A2166	BE_47	Block3	Stim01	CSES	English	m	Spanish	ML	325	Eng	CS
A2167	BE_47	Block3	Stim02	CSES	English	m	Spanish	ML	926	Eng	CS
A2168	BE_47	Block3	Stim27	CSES	English	m	Spanish	ML	778	Eng	CS
A2169	BE_47	Block3	Stim03	CSES	English	m	Spanish	ML	278	Eng	CS
A2170	BE_47	Block3	Stim32	CSES	English	m	Spanish	ML	3008	Eng	CS
A2203	BE_47	Block4	Stim01	CSES	English	m	Spanish	ML	464	Eng	CS
A2204	BE_47	Block4	Stim17	CSES	English	m	Spanish	ML	1564	Eng	CS
A2205	BE_47	Block4	Stim02	CSES	English	m	Spanish	ML	157	Eng	CS
A2206	BE_47	Block4	Stim21	CSES	English	m	Spanish	ML	1515	Eng	CS
