Item	Subject	Block	Stimuli	Context	Correct	Response	RT	Lg_Heard	Main_Context
A2405	BE_85	Block1	Stim32	CSES	0	ML	2092	Eng	CS
A2406	BE_85	Block1	Stim01	CSES	1	CS	3184	Eng	CS
A2407	BE_85	Block1	Stim17	CSES	1	CS	771	Eng	CS
A2408	BE_85	Block1	Stim02	CSES	1	CS	567	Eng	CS
A2409	BE_85	Block1	Stim21	CSES	1	CS	2895	Eng	CS
A241	BE_07	Block3	Stim17	CSES	1	CS	900	Eng	CS
A2410	BE_85	Block1	Stim29	CSES	1	CS	1766	Eng	CS
A242	BE_07	Block3	Stim02	CSES	1	CS	958	Eng	CS
A243	BE_07	Block3	Stim21	CSES	1	CS	948	Eng	CS
A244	BE_07	Block3	Stim26	CSES	1	CS	1606	Eng	CS
A2441	BE_85	Block2	Stim01	CSES	0	ML	354	Eng	CS
A2442	BE_85	Block2	Stim02	CSES	0	ML	811	Eng	CS
A2443	BE_85	Block2	Stim03	CSES	0	ML	310	Eng	CS
A2444	BE_85	Block2	Stim17	CSES	1	CS	1616	Eng	CS
A2445	BE_85	Block2	Stim21	CSES	1	CS	852	Eng	CS
A2446	BE_85	Block2	Stim26	CSES	1	CS	685	Eng	CS
A2447	BE_85	Block2	Stim27	CSES	1	CS	412	Eng	CS
A2448	BE_85	Block2	Stim28	CSES	1	CS	441	Eng	CS
A2449	BE_85	Block2	Stim29	CSES	1	CS	768	Eng	CS
A245	BE_07	Block3	Stim27	CSES	1	CS	459	Eng	CS
A2450	BE_85	Block2	Stim32	CSES	1	CS	299	Eng	CS
A246	BE_07	Block3	Stim28	CSES	1	CS	1188	Eng	CS
A247	BE_07	Block3	Stim29	CSES	1	CS	1199	Eng	CS
A248	BE_07	Block3	Stim03	CSES	1	CS	3107	Eng	CS
A2481	BE_85	Block3	Stim01	CSES	0	ML	470	Eng	CS
A2482	BE_85	Block3	Stim17	CSES	0	ML	1518	Eng	CS
A2483	BE_85	Block3	Stim02	CSES	0	ML	2549	Eng	CS
A2484	BE_85	Block3	Stim21	CSES	0	ML	1439	Eng	CS
A2485	BE_85	Block3	Stim03	CSES	0	ML	578	Eng	CS
A2486	BE_85	Block3	Stim26	CSES	1	CS	853	Eng	CS
A2487	BE_85	Block3	Stim27	CSES	1	CS	552	Eng	CS
A2488	BE_85	Block3	Stim28	CSES	1	CS	4685	Eng	CS
A2489	BE_85	Block3	Stim29	CSES	1	CS	2171	Eng	CS
A249	BE_07	Block3	Stim32	CSES	1	CS	1760	Eng	CS
A2490	BE_85	Block3	Stim32	CSES	1	CS	1822	Eng	CS
A250	BE_07	Block3	Stim01	CSES	0	ML	400	Eng	CS
A2521	BE_85	Block4	Stim01	CSES	0	ML	470	Eng	CS
A2522	BE_85	Block4	Stim17	CSES	0	ML	651	Eng	CS
A2523	BE_85	Block4	Stim21	CSES	0	ML	1290	Eng	CS
A2524	BE_85	Block4	Stim26	CSES	0	ML	2492	Eng	CS
A2525	BE_85	Block4	Stim27	CSES	0	ML	1027	Eng	CS
A2526	BE_85	Block4	Stim03	CSES	0	ML	283	Eng	CS
A2527	BE_85	Block4	Stim02	CSES	1	CS	2463	Eng	CS
A2528	BE_85	Block4	Stim28	CSES	1	CS	2163	Eng	CS
A2529	BE_85	Block4	Stim29	CSES	1	CS	890	Eng	CS
A2530	BE_85	Block4	Stim32	CSES	1	CS	517	Eng	CS
