Item	Subject	Block	Stimuli	Context	Response	Key	Correct	Error	RT	Lg_Heard	Main_Context
A7681	BE_74	Block1	Stim01	CSES	Spanish	z	Spanish	CS	9164	Eng	CS
A7685	BE_74	Block1	Stim26	CSES	Spanish	z	Spanish	CS	1342	Eng	CS
A7686	BE_74	Block1	Stim27	CSES	Spanish	z	Spanish	CS	7723	Eng	CS
A7690	BE_74	Block1	Stim32	CSES	Spanish	z	Spanish	CS	1799	Eng	CS
A7721	BE_74	Block2	Stim01	CSES	Spanish	z	Spanish	CS	2947	Eng	CS
A7726	BE_74	Block2	Stim27	CSES	Spanish	z	Spanish	CS	433	Eng	CS
A7729	BE_74	Block2	Stim03	CSES	Spanish	z	Spanish	CS	2151	Eng	CS
A7730	BE_74	Block2	Stim32	CSES	Spanish	z	Spanish	CS	3801	Eng	CS
A7761	BE_74	Block3	Stim01	CSES	Spanish	z	Spanish	CS	2108	Eng	CS
A7765	BE_74	Block3	Stim26	CSES	Spanish	z	Spanish	CS	816	Eng	CS
A7766	BE_74	Block3	Stim27	CSES	Spanish	z	Spanish	CS	431	Eng	CS
A7767	BE_74	Block3	Stim28	CSES	Spanish	z	Spanish	CS	4104	Eng	CS
A7768	BE_74	Block3	Stim29	CSES	Spanish	z	Spanish	CS	2199	Eng	CS
A7770	BE_74	Block3	Stim32	CSES	Spanish	z	Spanish	CS	1216	Eng	CS
A7846	BE_75	Block1	Stim27	CSES	Spanish	z	Spanish	CS	1632	Eng	CS
A7881	BE_75	Block2	Stim01	CSES	Spanish	z	Spanish	CS	950	Eng	CS
A7885	BE_75	Block2	Stim26	CSES	Spanish	z	Spanish	CS	4422	Eng	CS
A7887	BE_75	Block2	Stim28	CSES	Spanish	z	Spanish	CS	1418	Eng	CS
A7921	BE_75	Block3	Stim01	CSES	Spanish	z	Spanish	CS	3720	Eng	CS
A7927	BE_75	Block3	Stim28	CSES	Spanish	z	Spanish	CS	1553	Eng	CS
A7928	BE_75	Block3	Stim29	CSES	Spanish	z	Spanish	CS	3104	Eng	CS
A7930	BE_75	Block3	Stim32	CSES	Spanish	z	Spanish	CS	1537	Eng	CS
A8243	BE_77	Block3	Stim02	CSES	Spanish	z	Spanish	CS	283	Eng	CS
A8326	BE_80	Block1	Stim27	CSES	Spanish	z	Spanish	CS	1358	Eng	CS
A8327	BE_80	Block1	Stim28	CSES	Spanish	z	Spanish	CS	3282	Eng	CS
A8329	BE_80	Block1	Stim03	CSES	Spanish	z	Spanish	CS	2375	Eng	CS
A8369	BE_80	Block2	Stim03	CSES	Spanish	z	Spanish	CS	357	Eng	CS
A8370	BE_80	Block2	Stim32	CSES	Spanish	z	Spanish	CS	3294	Eng	CS
A8445	BE_80	Block4	Stim26	CSES	Spanish	z	Spanish	CS	1076	Eng	CS
A8449	BE_80	Block4	Stim03	CSES	Spanish	z	Spanish	CS	595	Eng	CS
A8486	BE_82	Block1	Stim27	CSES	Spanish	z	Spanish	CS	1464	Eng	CS
A8487	BE_82	Block1	Stim28	CSES	Spanish	z	Spanish	CS	3887	Eng	CS
A8526	BE_82	Block2	Stim27	CSES	Spanish	z	Spanish	CS	4282	Eng	CS
A8530	BE_82	Block2	Stim32	CSES	Spanish	z	Spanish	CS	1583	Eng	CS
A8562	BE_82	Block3	Stim17	CSES	Spanish	z	Spanish	CS	834	Eng	CS
A8566	BE_82	Block3	Stim27	CSES	Spanish	z	Spanish	CS	658	Eng	CS
A8602	BE_82	Block4	Stim17	CSES	Spanish	z	Spanish	CS	2520	Eng	CS
A8603	BE_82	Block4	Stim02	CSES	Spanish	z	Spanish	CS	1014	Eng	CS
A8606	BE_82	Block4	Stim27	CSES	Spanish	z	Spanish	CS	1305	Eng	CS
A8608	BE_82	Block4	Stim29	CSES	Spanish	z	Spanish	CS	1564	Eng	CS
