Subject	Context	Response	Number	Lg_Heard	Main_Context
BE_75	E	ML	30	Eng	ML
BE_76	E	ML	39	Eng	ML
BE_77	E	ML	39	Eng	ML
BE_80	E	ML	36	Eng	ML
BE_82	E	ML	35	Eng	ML
BE_84	E	ML	31	Eng	ML
BE_03	S	CS	0	Sp	ML
BE_04	S	CS	2	Sp	ML
BE_05	S	CS	6	Sp	ML
BE_08	S	CS	1	Sp	ML
BE_10	S	CS	1	Sp	ML
BE_12	S	CS	9	Sp	ML
BE_13	S	CS	6	Sp	ML
BE_14	S	CS	10	Sp	ML
BE_15	S	CS	2	Sp	ML
BE_16	S	CS	4	Sp	ML
BE_17	S	CS	4	Sp	ML
BE_21	S	CS	0	Sp	ML
BE_22	S	CS	1	Sp	ML
BE_23	S	CS	0	Sp	ML
BE_24	S	CS	3	Sp	ML
BE_25	S	CS	1	Sp	ML
BE_26	S	CS	2	Sp	ML
BE_27	S	CS	1	Sp	ML
BE_28	S	CS	18	Sp	ML
BE_29	S	CS	7	Sp	ML
BE_30	S	CS	0	Sp	ML
BE_31	S	CS	1	Sp	ML
BE_32	S	CS	0	Sp	ML
BE_35	S	CS	8	Sp	ML
BE_37	S	CS	1	Sp	ML
BE_38	S	CS	0	Sp	ML
BE_41	S	CS	5	Sp	ML
BE_43	S	CS	2	Sp	ML
BE_44	S	CS	15	Sp	ML
BE_45	S	CS	3	Sp	ML
BE_46	S	CS	10	Sp	ML
BE_48	S	CS	8	Sp	ML
BE_49	S	CS	12	Sp	ML
BE_52	S	CS	8	Sp	ML
BE_54	S	CS	0	Sp	ML
BE_55	S	CS	6	Sp	ML
BE_56	S	CS	7	Sp	ML
BE_57	S	CS	0	Sp	ML
BE_58	S	CS	6	Sp	ML
BE_60	S	CS	2	Sp	ML
BE_64	S	CS	1	Sp	ML
BE_65	S	CS	16	Sp	ML
BE_66	S	CS	3	Sp	ML
BE_67	S	CS	1	Sp	ML
BE_69	S	CS	0	Sp	ML
BE_70	S	CS	1	Sp	ML
BE_71	S	CS	4	Sp	ML
BE_72	S	CS	8	Sp	ML
BE_74	S	CS	3	Sp	ML
BE_75	S	CS	6	Sp	ML
BE_76	S	CS	0	Sp	ML
BE_77	S	CS	0	Sp	ML
BE_80	S	CS	3	Sp	ML
BE_82	S	CS	5	Sp	ML
BE_84	S	CS	9	Sp	ML
BE_03	S	ML	40	Sp	ML
BE_04	S	ML	38	Sp	ML
BE_05	S	ML	34	Sp	ML
BE_08	S	ML	39	Sp	ML
BE_10	S	ML	39	Sp	ML
BE_12	S	ML	31	Sp	ML
BE_13	S	ML	34	Sp	ML
BE_14	S	ML	30	Sp	ML
BE_15	S	ML	38	Sp	ML
BE_16	S	ML	36	Sp	ML
BE_17	S	ML	36	Sp	ML
BE_21	S	ML	40	Sp	ML
BE_22	S	ML	39	Sp	ML
BE_23	S	ML	40	Sp	ML
BE_24	S	ML	37	Sp	ML
BE_25	S	ML	39	Sp	ML
BE_26	S	ML	38	Sp	ML
BE_27	S	ML	39	Sp	ML
BE_28	S	ML	22	Sp	ML
BE_29	S	ML	33	Sp	ML
BE_30	S	ML	40	Sp	ML
BE_31	S	ML	39	Sp	ML
BE_32	S	ML	40	Sp	ML
BE_35	S	ML	32	Sp	ML
